X,Y,source_url,what3words,upstream,name,completeness,uuid,date_modified,source,version,type,phone,physical-address,email,url,defining-hours,activities,scope-of-service,notes,nature-of-facility
43.8940461,36.7499244,http://www.openstreetmap.org/node/4277481696,emblems.reconstructed.excitable,OpenStreetMap¶n4277481696, (الطوارئ),29.41%,29c6b4ad93f54df6b1d2880358990963,2016/07/02 00:28:29+00,OpenStreetMap,2,hospital,,,,,,,,,
43.0038991493911,36.8499255,http://www.openstreetmap.org/way/229482459,equivocal.trying.droplet,openstreetmap¶w229482459,AZADI,35.29%,f4e38e90ff304d62b8da9410668ecff2,2015/12/11 10:51:22.924+00,OpenStreetMap,2,hospital,,,,,,,,,
44.3253978,33.3764162,http://www.openstreetmap.org/node/997416381,sober.station.funded,openstreetmap¶n997416381,Al Kadhimiya Technical Hospital,35.29%,79fd9d65267a45ff9bf729240865b7bf,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.3412454,33.3747162,http://www.openstreetmap.org/node/2202187519,buns.harvest.chain,openstreetmap¶n2202187519,Al Kazimiyah,35.29%,ea2d1a20885f4d00b87d1c36054720e8,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
44.3435454,33.3767043,http://www.openstreetmap.org/node/2202187518,pimples.comment.nests,openstreetmap¶n2202187518,Al Kazimiyah Pediatric,35.29%,cd484596c3284636835570451964be80,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
43.9201675,33.4703975,http://www.openstreetmap.org/node/4286607289,scrabbled.trade.thesis,OpenStreetMap¶n4286607289,Al jawadeen field hospital,29.41%,30682a6006374da68546117a2ec5879a,2016/07/06 19:33:29+00,OpenStreetMap,2,hospital,,,,,,,,,
44.4329622,33.3194791,http://www.openstreetmap.org/node/1233035915,marathon.seasons.groomed,openstreetmap¶n1233035915,Al-Elwya Hospital For Gyn/Obs,35.29%,f2b1c1cf32484f71b9e77efd2b22cc7a,2015/11/17 09:43:57.838+00,OpenStreetMap,2,hospital,,,,,,,,,
45.0724139,32.9108465,http://www.openstreetmap.org/node/3975492116,dialects.mossy.housemates,OpenStreetMap¶n3975492116,Al-Ghadeer Health Center,29.41%,2c24863bb18f476c88ab590374112fb7,2016/01/29 09:58:10+00,OpenStreetMap,2,hospital,,,,,,,,,
46.2461939663969,31.058827,http://www.openstreetmap.org/way/400475784,tightest.supper.pancakes,OpenStreetMap¶w400475784,Al-Nasiriyah Teaching Hospital,29.41%,d7ccbbb8507b42c8a803d708170f00d8,2016/07/17 21:36:52+00,OpenStreetMap,2,hospital,,,,,,,,,
46.2476816841212,31.0806941,http://www.openstreetmap.org/way/400474431,removals.sank.burn,OpenStreetMap¶w400474431,Al-Nasiriyah heart center,29.41%,72e2c40b02a7403c9fcac8b4e7ef7017,2016/02/27 18:35:37+00,OpenStreetMap,2,hospital,,,,,,,,,
